dataset,setting,alpha,gamma,n_runs,best@3_mean,best@3_var,best@3_std,best@10_mean,best@10_var,best@10_std,test@3_mean,test@3_var,test@3_std,test@10_mean,test@10_var,test@10_std,test_roc_mean,test_roc_var,test_roc_std,test_ap_mean,test_ap_var,test_ap_std
LastFMAsia,intra,0.7,1.0,4,0.2829136690647482,1.263737211669512e-05,0.0035549081727514593,0.4302158273381295,3.6661318427272445e-05,0.006054859075756631,0.19235611510791367,4.86840743232752e-05,0.006977397388946339,0.4009892086330935,0.00010208020633852633,0.010103474963522516,0.96221,2.1533333333341616e-08,0.00014674240468706248,0.9625325,2.6624999999988583e-08,0.0001631716887207722
LastFMAsia,intra,0.6,1.0,4,0.2799460431654676,3.557226161516822e-05,0.005964248621173351,0.42526978417266187,5.4204837568793874e-05,0.00736239346739862,0.195863309352518,1.6260372996566824e-05,0.0040324152807674485,0.40485611510791364,0.00010321239411348638,0.010159350083223157,0.9621975,2.9025000000009112e-08,0.00017036725037403494,0.9625425,4.0158333333331776e-08,0.00020039544239660686
citeseer,inter,0.8,1.0,6,0.7047619047619048,0.000308497363442418,0.017564093015081023,0.7868131868131868,1.7389204202390893e-05,0.004170036474947299,0.626007326007326,0.0037394839592641772,0.06115132017597148,0.7556776556776557,6.070120355834649e-05,0.007791097712026624,0.95924,7.667160000000082e-06,0.002768963705070921,0.9654583333333333,3.975736666666729e-06,0.0019939249400784194
citeseer,inter,0.7,1.0,6,0.6952380952380953,0.0002949724268405595,0.017174761332855823,0.780952380952381,2.8337962403896268e-05,0.005323341281929636,0.6677655677655677,0.0012083886809161537,0.03476188546261773,0.7490842490842491,4.9108400756752055e-05,0.007007738633593012,0.960385,2.8650699999999487e-06,0.0016926517657214518,0.96633,1.913120000000089e-06,0.0013831558119026537
citeseer,inter,0.6,1.0,6,0.6945054945054946,0.00020480618282816087,0.014311051073494249,0.7846153846153846,4.830334500664137e-05,0.006950060791578831,0.6582417582417582,0.000372418790001208,0.019298155093200178,0.7509157509157509,8.436984261160025e-05,0.009185305798480542,0.9585933333333333,3.342706666666706e-06,0.001828307049340101,0.9650249999999999,1.4562300000000075e-06,0.001206743551878363
citeseer,intra,0.8,1.0,4,0.6736263736263737,4.347301050597796e-05,0.0065934065934066255,0.7752747252747253,0.0002845872076641315,0.01686971273211644,0.6258241758241758,0.000587288169705753,0.024234029167799417,0.7373626373626374,0.00035583464154892685,0.01886357976495784,0.9593275,5.436249999999766e-07,0.000737309297377957,0.96579,9.419999999999597e-08,0.0003069201850644496
citeseer,intra,0.7,1.0,4,0.6708791208791209,3.6630036630037104e-05,0.006052275326688063,0.771978021978022,0.00015255806464597682,0.012351439780283788,0.5664835164835165,0.0018592762548806513,0.04311932577024659,0.739010989010989,6.239182063357933e-05,0.00789884932338751,0.9548525,1.3578825000000033e-05,0.003684945725516189,0.961975,1.1165633333333378e-05,0.003341501658436425
citeseer,intra,0.6,1.0,4,0.6741758241758242,8.493338163667867e-05,0.009215930861105604,0.7818681318681319,0.00016865917964819079,0.012986884909330289,0.6126373626373627,0.0004327174656844978,0.020801862072528453,0.7472527472527473,0.00017389204202391005,0.013186813186813183,0.959355,2.206033333333313e-06,0.0014852721411691909,0.9655525,3.3055833333332086e-07,0.0005749420260629074
cora,inter,0.8,1.0,6,0.6720430107526881,4.668819844764741e-05,0.0068328762938931805,0.7441492726122707,4.236743972241539e-05,0.006509027555819332,0.5825426944971537,0.00035142170965221447,0.018746245214768063,0.6910183428209994,0.0008013807224548638,0.028308668680368278,0.9548766666666667,1.2435466666666563e-06,0.001115144235812864,0.9602066666666667,1.6866666666666385e-06,0.0012987173159185329
cora,inter,0.7,1.0,6,0.6625553447185326,0.00013454362586070155,0.011599294196661345,0.7485768500948766,4.860853565886201e-05,0.00697198219008497,0.5939278937381404,0.00011233972685603567,0.010599043676484954,0.7055660974067046,0.0006386321438044527,0.025271172188967662,0.9547066666666666,1.485146666666705e-06,0.0012186659372718615,0.9601266666666667,1.0409066666666623e-06,0.0010202483357823536
cora,inter,0.6,1.0,6,0.661606578115117,8.01740785681965e-05,0.00895399790977173,0.7492093611638203,4.668819844764741e-05,0.0068328762938931805,0.5996204933586338,7.777365705417907e-05,0.008818937410718996,0.69797596457938,0.000485965335512915,0.02204462146449594,0.9545616666666668,6.676966666666522e-07,0.0008171270810997835,0.9604333333333334,4.275466666666656e-07,0.0006538705274491775
cora,intra,0.8,1.0,4,0.6712523719165086,6.571153894623923e-05,0.008106265413014752,0.7590132827324478,2.1603793626160923e-05,0.004647988126723316,0.5986717267552182,0.0005917039032054013,0.02432496460851282,0.7011385199240987,9.961749283174172e-05,0.009980856317558214,0.9565725,1.046091666666608e-06,0.0010227862272570002,0.9603375000000001,6.0656916666668464e-06,0.0024628624944699707
cora,intra,0.7,1.0,4,0.6707779886148008,3.6006322710267736e-06,0.0018975332068311146,0.7594876660341556,2.490437320793499e-05,0.004990428158779063,0.6005692599620494,0.0004956870426446871,0.02226403024262874,0.7016129032258065,3.9306902292042574e-05,0.006269521695635367,0.95631,7.761333333332766e-07,0.0008809842980060863,0.9601425,5.691291666666831e-06,0.0023856428204295024
cora,intra,0.6,1.0,4,0.6679316888045541,0.00013202318327098283,0.011490134171147996,0.7575901328273245,1.530268715186398e-05,0.003911864919940869,0.5863377609108159,0.0002472434159438404,0.015723975831316978,0.7044592030360531,4.17073238060606e-05,0.006458120764282795,0.956555,4.2629999999998523e-07,0.0006529165337162057,0.9613275,2.3769166666664925e-07,0.00048753632343308457
